B15002,Sex by Educational Attainment for the Population 25 Years and Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,Oregon,,"Lane County, OR",,"Eugene-Springfield, OR Metro Area",,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,228434660,11047,3021010,716,266887,50,266887,50,938,222,708,272,29347,1074,37942,1479,5996,559,24533,1147,34393,1511,10899,493,448,158,631,184,724,170,13250,765,7510,500,368,93,1505,365,644,203,1680,214,880,240,13155,663,3267,273,10638,867,366,158,1244,247,774,168,970,252,1824,467,2324,343,556,278,2764,319,26799,1063,27093,1105,268,101,7157,566,594,169,656,220,343,214,835,452,362,110,1687,238
Male:,111381464,7804,1489634,774,130479,43,130479,43,503,137,323,135,14455,830,18876,1026,2739,306,12116,636,17372,996,5035,332,240,83,322,104,345,97,6303,446,4056,333,187,59,736,200,385,123,778,142,462,129,5813,377,1586,179,5270,466,189,88,600,121,380,100,518,148,971,258,1028,176,272,128,1284,201,12593,617,12985,623,152,56,3710,439,307,99,343,130,189,114,433,245,204,70,734,119
No schooling completed,2122372,17274,22196,1308,1304,290,1304,290,0,13,0,13,90,61,213,101,14,24,243,162,102,67,29,35,0,13,0,13,0,13,61,51,19,20,0,13,0,13,6,9,2,9,23,26,20,18,0,13,14,22,0,13,0,13,0,13,0,13,16,28,10,14,8,16,60,90,224,100,137,94,0,13,22,34,0,13,0,13,0,13,1,3,0,13,8,13
Nursery to 4th grade,627694,10889,6751,845,333,156,333,156,0,13,0,13,12,23,49,59,15,25,15,22,0,28,0,21,0,13,0,13,0,13,0,21,0,21,0,13,0,13,0,13,0,13,0,13,0,21,0,13,174,126,0,13,11,18,0,13,0,13,15,24,8,13,0,13,0,13,50,80,0,28,0,13,0,19,0,13,0,13,0,13,4,8,0,13,0,13
5th and 6th grade,1295383,19276,13425,1216,771,297,771,297,0,13,0,13,31,54,155,106,0,21,173,162,13,19,0,21,0,13,0,13,0,13,18,27,0,21,0,13,0,13,0,13,0,13,0,13,0,21,0,13,23,35,0,13,12,19,0,13,0,13,0,13,43,43,0,13,0,13,253,164,60,71,0,13,0,19,0,13,33,54,0,13,0,13,0,13,0,13
7th and 8th grade,1404058,20461,10937,1092,816,228,816,228,0,13,0,13,79,60,243,140,1,3,15,19,57,37,12,19,0,13,0,13,0,13,90,70,0,21,0,13,0,13,0,13,0,13,0,13,78,63,36,42,35,31,0,13,0,13,0,13,5,10,5,14,2,4,0,13,0,13,95,65,12,16,0,13,77,70,0,13,0,13,2,4,0,13,10,15,21,12
9th grade,1406519,17942,14058,1126,741,197,741,197,6,7,0,13,11,18,111,72,0,21,111,93,99,96,7,12,0,13,0,13,0,13,22,27,66,68,0,13,0,13,6,10,0,13,1,2,102,81,0,13,60,57,0,13,0,13,3,4,0,13,0,13,20,24,0,13,0,13,83,59,15,22,0,13,38,61,0,13,0,13,0,13,0,13,0,13,7,12
10th grade,1602450,18479,17883,1301,1404,280,1404,280,0,13,0,13,84,58,186,80,24,28,168,87,41,42,40,44,0,13,6,9,5,18,79,55,52,46,4,5,19,29,0,13,0,13,7,11,152,127,0,13,39,36,0,13,2,4,3,5,21,31,28,47,0,13,27,42,79,83,141,71,165,107,4,4,23,31,5,7,0,13,0,13,0,13,0,13,12,20
