B19001,Household Income in the Past 12 Months (In 2023 Inflation-adjusted Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,Oregon,,"Lane County, OR",,"Eugene-Springfield, OR Metro Area",,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,127482864,208633,1701548,3556,159509,808,159509,808,474,110,490,213,22990,805,23077,822,4714,406,13164,581,19588,694,6341,289,233,59,388,104,375,81,7428,459,3934,349,194,45,729,161,321,99,927,136,436,108,7895,412,1848,219,5915,473,193,73,664,133,404,72,443,105,943,224,1187,154,306,160,1557,242,16178,575,14593,522,134,40,3922,360,363,95,409,147,133,68,483,240,213,58,1021,180
"Less than $10,000",6214601,26414,74987,2256,9187,862,9187,862,12,19,45,37,2435,485,1374,337,574,183,526,122,633,202,153,74,18,11,26,25,18,22,388,156,232,133,9,15,123,104,40,49,59,67,20,26,321,129,44,56,209,110,4,7,8,9,44,28,0,13,26,43,36,39,0,13,83,84,990,270,663,246,7,7,146,115,40,30,17,17,0,13,3,5,3,5,39,33
"$10,000 to $14,999",4531954,20357,57467,2065,6701,637,6701,637,24,21,0,13,1481,329,1273,381,236,102,331,126,587,233,114,51,10,8,34,24,0,13,264,123,58,43,15,15,0,13,0,13,13,18,0,13,356,119,0,13,262,112,0,13,37,34,4,5,38,40,64,64,38,24,16,25,163,127,843,228,297,117,9,8,175,125,10,10,0,13,0,13,11,10,0,13,32,30
"$15,000 to $19,999",3984613,16995,52738,1874,5798,626,5798,626,0,13,32,50,957,264,798,189,370,159,583,334,547,231,99,57,9,14,18,17,18,20,206,99,180,119,13,10,0,13,17,28,31,36,0,13,265,92,51,59,185,112,0,13,15,19,23,18,0,13,16,28,0,13,0,13,228,138,682,189,420,147,9,13,97,95,0,13,20,25,0,13,3,3,2,4,54,42
"$20,000 to $24,999",4386074,17832,54087,1981,5854,488,5854,488,4,7,0,13,1098,288,972,232,167,86,444,131,712,189,99,43,2,3,7,10,23,38,274,108,98,69,6,6,71,83,5,7,9,14,0,13,245,88,88,108,258,108,0,13,15,21,16,14,44,45,8,12,59,49,10,15,89,112,569,167,396,129,8,8,167,147,4,7,0,13,0,13,27,42,22,21,67,38
"$25,000 to $29,999",4377379,16375,54350,1933,6212,644,6212,644,15,14,0,13,960,277,1156,281,305,126,373,136,637,225,172,85,8,13,7,11,32,25,282,135,66,52,3,4,15,23,25,39,22,23,13,17,405,191,74,64,157,103,13,19,15,19,14,16,4,7,39,68,12,14,60,88,78,96,546,191,507,144,3,5,293,185,0,13,17,29,6,12,4,8,2,3,34,39
"$30,000 to $34,999",4349182,18674,54476,2004,5679,673,5679,673,19,18,56,77,777,261,1103,260,179,82,239,94,452,135,208,108,19,15,6,9,0,13,209,106,123,107,3,4,42,44,0,13,6,11,26,34,522,204,77,84,80,69,5,8,11,19,20,22,4,7,52,49,92,62,0,13,90,88,649,162,381,149,6,8,239,195,0,13,6,10,1,4,208,232,5,8,13,18
"$35,000 to $39,999",4453830,19351,59245,2087,6825,570,6825,570,29,25,18,20,1200,332,958,255,218,129,345,130,612,201,221,95,9,8,11,19,12,21,450,135,81,56,12,15,53,50,62,61,22,21,32,32,403,130,55,59,220,133,0,13,48,37,42,32,11,11,0,13,95,84,9,14,130,113,745,212,713,226,5,5,109,78,32,36,42,37,0,13,7,9,6,7,42,32
