B01001,Sex by Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,Oregon,,"Lane County, OR",,"Eugene-Springfield, OR Metro Area",,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,332387550,,4238714,,382628,,382628,,1129,263,708,272,48186,1814,54199,2023,14508,984,33356,1477,46870,2176,15297,936,640,208,757,218,916,194,18881,867,10384,773,407,113,2115,603,799,301,2462,339,1218,395,15643,668,4997,442,14629,1240,461,198,1640,336,940,195,1284,332,2326,614,3278,439,635,297,3820,296,37837,1396,39267,1439,325,126,9546,713,662,188,896,359,476,288,1058,505,466,128,2141,324
Male:,164545090,6966,2113849,981,189067,65,189067,65,584,151,323,135,23185,1193,27643,1446,6230,620,16328,901,23263,1297,7381,577,347,120,398,131,486,126,9626,507,5375,484,226,79,1004,288,501,212,1127,178,612,191,7280,385,2437,289,7223,737,203,91,817,170,453,102,753,208,1209,318,1466,223,309,137,1800,246,18721,787,19488,947,178,68,5089,507,375,132,507,205,266,177,570,273,230,66,969,178
Under 5 years,9688436,4185,109030,503,8618,25,8618,25,10,10,0,13,832,230,1497,309,224,118,925,288,916,247,253,123,22,25,0,13,26,28,412,162,207,101,1,2,43,38,0,13,44,42,34,41,88,45,300,172,412,203,0,13,40,36,15,18,52,42,30,48,47,39,12,17,81,54,1115,226,1116,277,16,19,146,90,0,13,0,13,14,21,45,76,0,13,3,11
5 to 9 years,10296243,22450,121246,1925,9771,644,9771,644,14,14,0,13,612,184,1678,330,150,80,901,198,1042,202,461,137,18,22,17,23,4,17,642,214,268,147,1,2,39,38,0,13,58,42,24,20,493,120,153,105,524,348,0,13,8,15,34,22,34,39,34,39,59,72,0,13,152,118,1030,258,1100,263,2,5,417,152,6,11,0,13,6,9,4,7,0,13,79,62
10 to 14 years,11032019,22077,131064,1956,10360,643,10360,643,19,17,0,13,694,219,1807,428,106,60,787,185,1175,247,534,273,19,18,38,32,23,27,589,140,443,177,16,17,53,47,14,16,116,65,36,35,306,115,210,121,314,132,0,13,118,62,7,8,43,32,23,28,119,94,9,15,124,105,1204,249,1332,274,3,4,280,156,6,10,79,74,9,17,38,44,20,31,65,49
15 to 17 years,6677172,3483,78765,515,6308,64,6308,64,27,37,0,13,407,133,810,207,232,123,345,116,805,185,303,127,10,12,0,13,29,26,384,128,136,82,10,11,91,95,29,46,35,30,15,18,140,87,43,47,188,100,1,5,25,22,0,13,16,17,30,38,61,43,7,12,0,13,872,237,1039,280,0,13,247,105,6,10,30,32,38,61,35,41,0,13,48,53
18 and 19 years,4477565,5380,51884,711,6327,156,6327,156,3,5,0,13,1129,319,573,193,1430,263,453,188,377,190,243,136,0,13,7,13,46,43,272,99,118,107,0,13,2,3,33,51,34,38,11,18,249,182,28,40,99,65,2,7,3,6,5,8,26,36,64,56,47,52,0,13,122,131,302,136,593,182,5,7,71,70,0,13,55,85,0,13,0,13,3,5,27,30
20 years,2247227,13115,26128,1508,3793,682,3793,682,2,4,0,13,1245,574,545,233,315,207,164,78,417,198,209,152,0,13,0,13,13,22,126,132,29,53,11,15,0,13,0,13,19,29,0,13,13,20,0,13,136,207,11,16,0,13,0,13,25,30,0,13,9,13,0,13,0,13,237,163,237,138,0,13,15,24,0,13,0,13,10,15,7,9,0,13,0,13
